Ветка,Номер вопроса,Выбор пользователя,Вводная,Вариант вопроса,Подтверждение выбора,Следующий вопрос,Совет,Финал,Эмодзи
1,3,11,"Готовность к действиям — ключевой фактор в достижении успеха. Кто-то предпочитает планировать, кто-то действует импульсивно. Это влияет на то, насколько эффективно ты достигаешь целей. Давай разберёмся, какой стиль у тебя.","Действую импульсивно, но часто теряю фокус","Хорошо, ты склонен к импульсивным действиям. Сейчас мы найдём способ сделать их более управляемыми.",4,"*Импульсивный мечтатель*
Ты полон идей и энергии, но иногда теряешь фокус. Задача — научиться концентрации и структурировать действия.",Нет,🌀
1,3,12,"Готовность к действиям — ключевой фактор в достижении успеха. Кто-то предпочитает планировать, кто-то действует импульсивно. Это влияет на то, насколько эффективно ты достигаешь целей. Давай разберёмся, какой стиль у тебя.","Действую, но не всегда уверен(а) в результате","Хорошо, ты действуешь, но не всегда видишь результат. Сейчас мы подберём тебе стратегию.",4,"*Практикующий сомневающийся*
Ты уже делаешь шаги, но не всегда веришь в них. Главное — начать видеть прогресс и учиться на опыте.",Нет,🤔
1,4,14,"Инструменты — твой главный рычаг в мире успеха. От выбора планировщика до системы привычек — всё влияет на твой результат. Сейчас мы узнаем, какие инструменты тебе ближе.",Блокнот и ручка,"Хорошо, ты доверяешь классическим решениям. Сейчас объясню, как использовать их максимально эффективно.",5,"*Традиционный организатор*
Ты доверяешь проверенным средствам: бумага, ручка, список дел. Это разумный выбор для тех, кто ценит тактильный контакт с планом.",Нет,📖
1,4,15,"Инструменты — твой главный рычаг в мире успеха. От выбора планировщика до системы привычек — всё влияет на твой результат. Сейчас мы узнаем, какие инструменты тебе ближе.",Приложения и цифровые трекеры,"Отлично, ты выбираешь технологии — сейчас расскажу, как их использовать правильно.",5,"*Цифровой организатор*
Ты любишь автоматизацию, уведомления и аналитику. Это удобно, но важно не потерять связь с реальностью.",Нет,📱
1,4,16,"Инструменты — твой главный рычаг в мире успеха. От выбора планировщика до системы привычек — всё влияет на твой результат. Сейчас мы узнаем, какие инструменты тебе ближе.",Медитация и визуализация,"Отлично, ты используешь внутренние инструменты — это важная часть успеха.",5,"*Медитирующий лидер*
Ты знаешь силу внутреннего мира и умеешь работать с мыслями. Это редкий и ценный навык.",Нет,🧘
1,4,17,"Инструменты — твой главный рычаг в мире успеха. От выбора планировщика до системы привычек — всё влияет на твой результат. Сейчас мы узнаем, какие инструменты тебе ближе.",Еще не выбрал,"Ещё не выбрал — не проблема. Сейчас я помогу тебе разобраться.",5,"*Индивидуальный подход*
Ты ещё не определился — это нормально. Попробуй разные методы и посмотри, какой тебе подходит больше всего.",Нет,🤔
1,5,19,"Как часто ты работаешь над своими целями? Регулярность — ключ к успеху. Кто-то делает это каждый день, кто-то раз в неделю, а кто-то ждёт вдохновения. Твой график наблюдений определит, насколько активным будет твой подход.",Каждый день,"Активный контроль — это работа. Сейчас я подскажу, как организовать процесс.",6,"*Ежедневный воин*
Ты каждый день двигаешься к своей цели. Это требует дисциплины, но приносит результат.",Нет,📅
1,5,20,"Как часто ты работаешь над своими целями? Регулярность — ключ к успеху. Кто-то делает это каждый день, кто-то раз в неделю, а кто-то ждёт вдохновения. Твой график наблюдений определит, насколько активным будет твой подход.",Несколько раз в неделю,"Хорошо, ты активен, но не слишком. Такой стиль часто приносит хорошие результаты.",6,"*Часто работает над собой*
Ты регулярно возвращаешься к своим целям, но не выгораешь. Это разумный баланс между развитием и отдыхом.",Нет,📆
1,5,21,"Как часто ты работаешь над своими целями? Регулярность — ключ к успеху. Кто-то делает это каждый день, кто-то раз в неделю, а кто-то ждёт вдохновения. Твой график наблюдений определит, насколько активным будет твой подход.",Раз в неделю или реже,"Отлично, ты не гонишься за скоростью, а строишь долгосрочные планы.",6,"*Пассивный реалист*
Ты не гонишься за каждым трендом, а строишь долгосрочные планы. Это зрелый подход, если ты не забываешь о себе.",Нет,🗓️
1,5,22,"Как часто ты работаешь над своими целями? Регулярность — ключ к успеху. Кто-то делает это каждый день, кто-то раз в неделю, а кто-то ждёт вдохновения. Твой график наблюдений определит, насколько активным будет твой подход.",Совсем не работаю — пока не нашёл(ла) мотивацию,"Отлично, ты доверяешь себе и своему времени. Сейчас я подскажу, как начать без давления.",6,"*Самостоятельный мечтатель*
Ты не зависишь от мнений других и принимаешь решения осознанно. Это зрелый подход, если ты не остаешься в застое.",Нет,⏳
1,6,23,"Образование — основа успеха. Сейчас мы узнаем, доверяешь ли ты информации из Telegram, TikTok и YouTube, или предпочитаешь проверенные источники.","Да, чаще всего","Хорошо, ты доверяешь информации из соцсетей. Сейчас я объясню, как не попасть в мошенников.",7,"*Часто доверяет информации*
Ты черпаешь знания из разных источников, включая Telegram и YouTube. Это может быть полезно, но требует критического мышления.",Нет,📱
1,6,24,"Образование — основа успеха. Сейчас мы узнаем, доверяешь ли ты информации из Telegram, TikTok и YouTube, или предпочитаешь проверенные источники.","Иногда проверяю, иногда верю",Ты находишь баланс между доверием и скептицизмом. Это правильный подход.,7,"*Балансирующий между доверием и скептицизмом*
Ты находишь баланс между доверием и осторожностью — это правильный подход для роста.",Нет,🤷
1,6,25,"Образование — основа успеха. Сейчас мы узнаем, доверяешь ли ты информации из Telegram, TikTok и YouTube, или предпочитаешь проверенные источники.","Не доверяю, только проверенные источники","Отлично, ты предпочитаешь проверенные источники — это мудро.",7,"*Доверяет проверенным источникам*
Ты предпочитаешь проверенные источники и не подвержен влиянию шума. Это снижает риск ошибок.",Нет,🔒
1,6,26,"Образование — основа успеха. Сейчас мы узнаем, доверяешь ли ты информации из Telegram, TikTok и YouTube, или предпочитаешь проверенные источники.",Не слежу за каналами,"Не слежу за каналами — это тоже вариант. Сейчас я подскажу, где получить качественную информацию.",7,"*Не следит за каналами*
Ты не зависишь от мнений других и получаешь информацию осознанно. Это зрелый подход.",Нет,🚫
1,7,27,"Цель — это движущая сила любого человека. Хоть ты и в мире успеха, важно понимать, чего ты хочешь достичь за 6 месяцев. Это поможет тебе выбрать правильную стратегию и не сбиться с курса.","Понять, чего хочу","Хорошо, ты хочешь разобраться, чего хочешь. Сейчас я помогу тебе составить список желаний.",8,"*Учащийся*
Ты хочешь понять, чего хочешь. Изучи свои ценности, интересы и страхи — и тогда сможешь двигаться уверенно.",Нет,🧠
1,7,28,"Цель — это движущая сила любого человека. Хоть ты и в мире успеха, важно понимать, чего ты хочешь достичь за 6 месяцев. Это поможет тебе выбрать правильную стратегию и не сбиться с курса.",Развить привычки,"Хорошо, ты хочешь развить привычки. Сейчас я подскажу, с чего начать.",8,"*Цель — личностный рост*
Стремление к развитию — один из самых важных признаков успешного человека. Это путь, который приносит результат.",Нет,📈
1,7,29,"Цель — это движущая сила любого человека. Хоть ты и в мире успеха, важно понимать, чего ты хочешь достичь за 6 месяцев. Это поможет тебе выбрать правильную стратегию и не сбиться с курса.",Научиться принимать решения,"Ты хочешь принимать лучшие решения — отличная цель. Сейчас мы подберём тебе подходящие методики.",8,"*Цель — принятие решений*
Ты хочешь не просто действовать, а делать это осознанно. Это зрелый подход к жизни.",Нет,⚖️
1,7,30,"Цель — это движущая сила любого человека. Хоть ты и в мире успеха, важно понимать, чего ты хочешь достичь за 6 месяцев. Это поможет тебе выбрать правильную стратегию и не сбиться с курса.",Сформировать систему успеха,"Отлично, ты хочешь создать систему. Сейчас мы вместе построим её шаг за шагом.",8,"*Цель — система успеха*
Ты хочешь не просто менять отдельные привычки, а строить систему. Это зрелый подход к развитию.",Нет,🏗️
1,8,31,"Вот твой итоговый портрет и рекомендации.",Финал,,,,"Да",🎯,"*Универсальный стратег*
Ты умеешь адаптироваться. Фокусируйся на одном стиле — так повысишь эффективность и снизишь хаос."
